ED_CODE,ED_NAME,BEAUMONT,DEAN,KELLY,MACKENZIE,STAIRS,YAKABUSKI,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
074,RENFREW--NIPISSING--PEMBROKE,0,0,17,5,9,26,"Stonecliffe",001, ,0,0,1,58,173,"Head, Clara & Maria Municipal Hall",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,50,9,11,82,"Deep River",002, ,0,0,0,152,281,"Point Alexander Municipal Auditorium",20071010
074,RENFREW--NIPISSING--PEMBROKE,1,1,91,8,14,48,"Deep River",003, ,0,1,0,164,279,"T. W. Morison Public School",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,2,71,6,10,75,"Deep River",004, ,0,0,0,164,318,"T. W. Morison Public School",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,129,10,10,83,"Deep River",005, ,1,0,0,233,389,"T. W. Morison Public School",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,3,88,27,20,73,"Deep River",006, ,0,0,0,211,399,"T. W. Morison Public School",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,2,67,16,9,29,"Deep River",007, ,0,0,0,123,307,"Community Church Trustees",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,28,5,5,22,"Deep River",008, ,1,0,0,61,196,"Community Church Trustees",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,7,0,3,7,"Deep River",009s, ,0,0,0,18,31,"North Renfrew Long Term Care",20071010
074,RENFREW--NIPISSING--PEMBROKE,1,0,59,14,11,46,"Deep River",010, ,0,2,0,133,285,"Community Church Trustees",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,5,53,7,7,60,"Deep River",011, ,1,0,0,133,279,"Community Church Trustees",20071010
074,RENFREW--NIPISSING--PEMBROKE,1,3,74,11,13,61,"Deep River",012, ,0,0,0,163,322,"Community Church Trustees",20071010
074,RENFREW--NIPISSING--PEMBROKE,..........................NO POLL HELD........................,,,,,,"Deep River",013s, ,0,0,0,0,0,"",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,92,12,13,49,"Deep River",014, ,0,2,0,168,324,"Community Church Trustees",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,49,13,13,73,"Deep River",015, ,1,0,0,150,333,"Point Alexander Municipal Auditorium",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,79,16,14,155,"Chalk River",016, ,1,0,0,266,547,"Chalk River Lions Hall",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,4,0,2,6,"Deux-Rivières",017, ,0,0,0,12,67,"Algonquin Park Brent Access Office",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,47,7,9,86,"Chalk River",018, ,0,0,0,149,362,"Chalk River Lions Hall",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,45,4,14,70,"Chalk River",019, ,0,0,0,133,289,"Chalk River Lions Hall",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,22,13,11,67,"Petawawa",020A, ,1,0,0,115,325,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,27,13,11,57,"Petawawa",020B, ,2,0,0,111,367,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,1,2,38,8,6,79,"Petawawa",021, ,0,0,0,134,324,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,12,1,8,49,"Petawawa",022, ,0,0,0,70,214,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,26,4,4,52,"Petawawa",023, ,0,0,0,87,272,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,34,11,8,62,"Petawawa",024, ,0,1,0,116,279,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,2,26,5,4,47,"Petawawa",025, ,0,0,0,84,219,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,2,1,41,8,9,63,"Petawawa",026, ,0,0,0,124,271,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,3,43,5,9,83,"Petawawa",027, ,0,0,0,143,328,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,1,0,21,4,7,48,"Petawawa",028A, ,0,0,0,81,282,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,19,4,6,35,"Petawawa",028B, ,0,0,0,64,254,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,30,4,8,50,"Petawawa",029, ,1,0,0,94,272,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,36,10,7,47,"Petawawa",030, ,0,0,0,101,290,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,3,49,8,7,88,"Petawawa",031, ,0,0,0,155,441,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,31,2,11,58,"Petawawa",032, ,0,0,0,103,271,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,49,11,13,84,"Petawawa",033, ,2,1,0,160,431,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,34,9,12,71,"Pembroke",034, ,0,1,0,127,359,"Mount Zion United Church",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,46,3,7,74,"Pembroke",035, ,0,0,0,130,325,"Mount Zion United Church",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,51,3,6,86,"Pembroke",036, ,0,0,0,146,337,"Mount Zion United Church",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,26,11,15,112,"Pembroke",037, ,0,0,0,165,384,"Pembroke Outdoor Sportsman's Club",20071010
074,RENFREW--NIPISSING--PEMBROKE,1,1,46,7,10,84,"Petawawa",038, ,0,0,0,149,366,"Petawawa Civic Centre",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,2,30,5,13,114,"Pembroke",039, ,3,0,0,167,381,"Mount Zion United Church",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,28,2,4,90,"Pembroke",040, ,0,2,0,127,328,"Mount Zion United Church",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,0,38,9,11,112,"Pembroke",041, ,0,0,0,170,382,"Mount Zion United Church",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,2,38,10,15,138,"Pembroke",042, ,4,0,0,207,387,"Mount Zion United Church",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,2,43,10,8,148,"Pembroke",043, ,0,0,16,227,408,"Pembroke Outdoor Sportsman's Club",20071010
074,RENFREW--NIPISSING--PEMBROKE,1,0,49,1,9,64,"Pembroke",044, ,0,1,0,125,299,"Centre scolaire catholique Jeanne-Lajoie",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,48,4,14,62,"Pembroke",045, ,1,0,0,130,371,"Centre scolaire catholique Jeanne-Lajoie",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,1,41,0,7,66,"Pembroke",046, ,0,0,0,115,310,"Centre scolaire catholique Jeanne-Lajoie",20071010
074,RENFREW--NIPISSING--PEMBROKE,0,2,34,3,2,31,"Pembroke",047s, ,0,1,0,73,99,"St. Joseph Non-Profit Housing",20071010
074,RENFREW--NIPISSING--PEMBROKE,..........................NO POLL HELD........................,,,,,,"Pembroke",048s, ,0,0,0,0,0,"",20071010
