"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CRACK","GOSSELIN","HOWARTH","JEAN-LOUIS","LEDUC","MILLER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"026","GLENGARRY--PRESCOTT--RUSSELL","001","U","L'ORIGNAL","116","49","5","47","3","0","1","0","0","221","496","École Saint-Jean-Baptiste"
"026","GLENGARRY--PRESCOTT--RUSSELL","002","U","L'ORIGNAL","72","67","2","47","2","1","0","0","0","191","415","École Saint-Jean-Baptiste"
"026","GLENGARRY--PRESCOTT--RUSSELL","003","U","L'ORIGNAL","96","52","4","22","0","1","0","2","0","177","409","École Saint-Jean-Baptiste"
"026","GLENGARRY--PRESCOTT--RUSSELL","004","U","L'ORIGNAL","51","49","3","46","1","3","0","0","0","153","406","École Saint-Jean-Baptiste"
"026","GLENGARRY--PRESCOTT--RUSSELL","005","U","L'ORIGNAL","102","60","2","29","0","1","1","1","0","196","436","École Saint-Jean-Baptiste"
"026","GLENGARRY--PRESCOTT--RUSSELL","006","U","L'ORIGNAL","59","73","3","47","1","0","0","1","0","184","389","École Saint-Jean-Baptiste"
"026","GLENGARRY--PRESCOTT--RUSSELL","007","U","L'ORIGNAL","38","55","4","12","0","0","0","0","0","109","310","Cassburn Church Hall"
"026","GLENGARRY--PRESCOTT--RUSSELL","008","U","HAWKESBURY","81","42","3","41","0","1","3","0","0","171","512","École secondaire catholique regionale Hawkesbury"
"026","GLENGARRY--PRESCOTT--RUSSELL","009","U","HAWKESBURY","50","25","1","15","0","0","2","0","0","93","347","École secondaire catholique regionale Hawkesbury"
"026","GLENGARRY--PRESCOTT--RUSSELL","010","U","L'ORIGNAL","65","32","0","33","0","2","0","1","0","133","372","Résidence Champlain"
"026","GLENGARRY--PRESCOTT--RUSSELL","011","U","HAWKESBURY","47","42","3","24","0","1","1","0","0","118","399","École secondaire catholique regionale Hawkesbury"
"026","GLENGARRY--PRESCOTT--RUSSELL","012","U","HAWKESBURY","65","41","2","30","1","0","1","0","0","140","359","École secondaire catholique regionale Hawkesbury"
"026","GLENGARRY--PRESCOTT--RUSSELL","013","U","HAWKESBURY","58","35","2","33","0","0","1","0","0","129","352","École secondaire catholique regionale Hawkesbury"
"026","GLENGARRY--PRESCOTT--RUSSELL","014","U","HAWKESBURY","51","37","0","19","0","0","1","0","0","108","410","École secondaire catholique regionale Hawkesbury"
"026","GLENGARRY--PRESCOTT--RUSSELL","015","U","HAWKESBURY","25","21","0","21","1","0","3","0","0","71","197","École secondaire catholique regionale Hawkesbury"
"026","GLENGARRY--PRESCOTT--RUSSELL","016","U","HAWKESBURY","50","37","2","33","0","1","1","0","0","124","467","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","017","U","HAWKESBURY","60","23","0","19","0","1","0","0","0","103","507","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","018","U","HAWKESBURY","57","29","1","38","0","0","0","0","2","127","485","École St. Jean Bosco"
"026","GLENGARRY--PRESCOTT--RUSSELL","019","U","HAWKESBURY","49","38","2","27","0","0","2","0","0","118","376","École St. Jean Bosco"
"026","GLENGARRY--PRESCOTT--RUSSELL","020","U","HAWKESBURY","47","38","1","53","2","0","6","0","0","147","430","École St. Jean Bosco"
"026","GLENGARRY--PRESCOTT--RUSSELL","021","U","HAWKESBURY","57","39","2","56","0","1","0","0","0","155","433","École St. Jean Bosco"
"026","GLENGARRY--PRESCOTT--RUSSELL","022","U","HAWKESBURY","76","62","1","39","0","0","1","0","0","179","497","École St. Jean Bosco"
"026","GLENGARRY--PRESCOTT--RUSSELL","023","U","HAWKESBURY","29","50","0","22","1","0","0","0","0","102","327","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","024","U","HAWKESBURY","30","44","2","39","0","0","2","0","0","117","378","École St. Jean Bosco"
"026","GLENGARRY--PRESCOTT--RUSSELL","025","U","HAWKESBURY","44","19","2","18","2","1","4","0","0","90","322","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","026","U","HAWKESBURY","33","23","0","27","1","1","0","0","0","85","405","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","027","U","HAWKESBURY","77","40","1","37","0","1","0","0","0","156","458","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","028","U","HAWKESBURY","85","49","2","29","1","0","1","0","0","167","471","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","029","U","HAWKESBURY","81","39","3","20","0","0","1","0","0","144","410","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","030","U","HAWKESBURY","102","44","0","31","0","0","0","0","0","177","443","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","031","U","HAWKESBURY","64","46","0","47","0","0","0","2","0","159","450","École secondaire le Sommet"
"026","GLENGARRY--PRESCOTT--RUSSELL","032","U","HAWKESBURY","70","44","0","31","0","0","0","0","0","145","394","École St. Jean Bosco"
"026","GLENGARRY--PRESCOTT--RUSSELL","033","U","CHUTE A BLONDEAU","72","82","2","23","1","1","1","0","0","182","370","Centre Recreatif Chute A Blondeau"
"026","GLENGARRY--PRESCOTT--RUSSELL","034","U","CHUTE A BLONDEAU","55","67","2","46","0","2","0","2","0","174","412","Centre Recreatif Chute A Blondeau"
"026","GLENGARRY--PRESCOTT--RUSSELL","035","U","ST EUGENE","53","76","4","23","1","0","1","0","0","158","328","Community Hall St Eugene"
"026","GLENGARRY--PRESCOTT--RUSSELL","036","U","ST EUGENE","68","60","6","31","1","6","5","0","0","177","493","Community Hall St Eugene"
"026","GLENGARRY--PRESCOTT--RUSSELL","037","U","L'ORIGNAL","38","74","4","21","1","0","1","0","0","139","341","Cassburn Church Hall"
