"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BURNS","FERGUSON","HOCKLEY","JENNER","LEVAC","SITKO","ST. AMANT","TURMEL","VAN TILBORG","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"009","BRANT","001","U","BRANT","13","2","6","1","127","2","150","1","51","0","0","0","353","760","Tim Horton's Onondaga Farms"
"009","BRANT","002","U","ST GEORGE BRANT","3","0","4","0","65","0","94","0","40","0","0","0","206","392","St. George Fire Hall"
"009","BRANT","003","U","BRANT","5","1","0","0","52","1","80","0","16","1","0","0","156","421","Tim Horton's Onondaga Farms"
"009","BRANT","004","U","ST GEORGE BRANT","0","0","2","0","97","1","120","1","46","0","0","0","267","611","St. George-German School"
"009","BRANT","005","U","ST GEORGE BRANT","3","0","1","0","73","0","125","0","45","0","0","0","247","415","St. George Fire Hall"
"009","BRANT","006","U","ST GEORGE BRANT","3","1","1","0","54","0","118","0","26","0","0","0","203","394","St. George Fire Hall"
"009","BRANT","007","U","ST GEORGE BRANT","3","1","4","0","88","1","105","0","34","0","0","0","236","441","St. George-German School"
"009","BRANT","008","U","ST GEORGE BRANT","7","2","1","0","53","0","94","0","44","0","0","0","201","363","St. George Fire Hall"
"009","BRANT","009","U","ST GEORGE BRANT","3","1","0","1","70","0","93","0","38","1","0","0","207","389","St. George-German School"
"009","BRANT","010","U","ST GEORGE BRANT","4","1","1","2","74","0","87","0","22","0","1","0","192","361","St. George-German School"
"009","BRANT","011","U","ST GEORGE BRANT","8","1","3","1","58","0","108","0","44","0","0","0","223","476","St. George-German School"
"009","BRANT","012","U","BRANTFORD","9","4","1","0","93","1","108","0","37","0","0","0","253","530","Branlyn Community Centre"
"009","BRANT","013","U","BRANTFORD","7","1","3","0","101","2","105","1","64","0","1","0","285","680","Cainsville Community Community Centre"
"009","BRANT","014","U","BRANTFORD","10","1","4","1","69","2","151","0","43","0","1","0","282","600","Onondaga Community Hall"
"009","BRANT","015","U","BRANTFORD","2","2","3","0","74","107","0","26","0","0","0","0","214","440","Cainsville Community Community Centre"
"009","BRANT","016","U","BRANTFORD","6","2","1","0","68","1","134","1","55","0","0","0","268","521","Onondaga Community Hall"
"009","BRANT","017","U","BRANTFORD","5","1","0","0","38","0","110","0","37","2","0","0","193","317","Onondaga Community Hall"
"009","BRANT","018","U","MOUNT PLEASANT","1","0","0","0","34","0","69","0","19","0","0","0","123","282","Mount Pleasant Public School"
"009","BRANT","019","U","BRANTFORD","4","0","3","0","102","0","71","0","28","0","0","0","208","417","Agnes G Hodge Public School"
"009","BRANT","020","U","MOUNT PLEASANT","6","3","0","1","52","1","86","0","29","1","0","0","179","363","Mount Pleasant Public School"
"009","BRANT","021","U","MOUNT PLEASANT","6","1","0","2","64","0","90","0","30","0","0","0","193","367","Mount Pleasant Public School"
"009","BRANT","022","U","OAKLAND","14","1","1","5","87","0","114","1","67","0","0","0","290","568","Oakland Community Centre"
"009","BRANT","023","U","BRANTFORD","5","1","1","2","76","1","57","0","31","0","0","0","174","361","Airport Community Hall"
"009","BRANT","024","U","BRANTFORD","2","1","1","0","54","0","66","0","39","0","0","0","163","353","Airport Community Hall"
"009","BRANT","025","U","MOUNT PLEASANT","1","0","2","0","73","0","102","1","34","0","0","0","213","451","Mount Pleasant Public School"
"009","BRANT","026","U","PARIS","2","1","0","0","41","0","41","0","17","0","0","0","102","301","Sacred Heart Catholic Elementary School"
"009","BRANT","027","U","BURFORD","5","1","2","0","56","0","68","0","29","0","0","0","161","368","Blessed Sacrament Church Hall"
"009","BRANT","028","U","SCOTLAND","8","1","3","0","35","1","64","0","39","0","0","0","151","348","Oakland-Scotland Elementary School"
"009","BRANT","029","U","BURFORD","2","1","0","8","70","0","89","1","33","1","0","0","205","415","Blessed Sacrament Church Hall"
"009","BRANT","030","U","BURFORD","5","0","1","5","51","1","76","0","44","0","0","0","183","355","Blessed Sacrament Church Hall"
"009","BRANT","031","U","BURFORD","3","2","1","0","80","0","111","0","56","0","0","0","253","468","Blessed Sacrament Church Hall"
"009","BRANT","032","U","BURFORD","3","2","0","1","44","1","60","0","42","0","0","0","153","346","Blessed Sacrament Church Hall"
"009","BRANT","033","U","SCOTLAND","6","1","1","4","84","1","123","0","51","0","0","0","271","561","Oakland-Scotland Elementary School"
"009","BRANT","034","U","HARLEY","4","1","2","1","53","2","113","0","35","0","1","0","212","468","Crossroads Congregational Church"
"009","BRANT","035","U","HARLEY","5","1","1","3","57","3","68","0","41","1","0","0","180","433","Crossroads Congregational Church"
"009","BRANT","036","U","BURFORD","5","1","4","1","32","0","89","1","32","0","0","0","165","352","Blessed Sacrament Church Hall"
"009","BRANT","037","U","BURFORD","4","2","0","0","46","1","75","0","40","0","1","0","169","452","Blessed Sacrament Church Hall"
"009","BRANT","038","U","BURFORD","4","1","2","1","41","1","86","0","30","0","1","0","167","385","Blessed Sacrament Church Hall"
"009","BRANT","039","U","PARIS","4","2","1","1","65","1","55","0","24","0","0","0","153","374","Sacred Heart Catholic Elementary School"
"009","BRANT","040","U","PARIS","6","2","4","0","88","0","129","0","40","0","0","0","269","508","Sacred Heart Catholic Elementary School"
"009","BRANT","041","U","PARIS","5","1","0","1","86","0","74","0","37","0","0","0","204","394","Fire Administration Building"
"009","BRANT","042","U","PARIS","7","2","3","0","127","0","150","0","77","0","0","0","366","811","Sacred Heart Catholic Elementary School"
"009","BRANT","043","U","PARIS","2","4","1","0","85","1","77","0","35","0","0","0","205","405","Sacred Heart Catholic Elementary School"
"009","BRANT","044","U","PARIS","7","2","2","1","80","1","46","0","61","0","0","0","200","588","Fire Administration Building"
"009","BRANT","045","U","PARIS","5","1","1","1","69","1","43","0","44","0","0","0","165","392","Fire Administration Building"
"009","BRANT","046","U","PARIS","6","1","0","1","33","0","30","1","24","0","0","0","96","292","Fire Administration Building"
"009","BRANT","047","U","PARIS","13","1","1","2","98","0","110","0","63","1","0","0","289","616","Fire Administration Building"
"009","BRANT","048","U","PARIS","5","0","0","0","50","1","13","0","19","0","0","0","88","231","County Council Chambers"
"009","BRANT","049","U","PARIS","2","0","0","0","36","0","24","0","37","1","1","0","101","267","County Council Chambers"
"009","BRANT","050","U","PARIS","6","1","2","0","70","0","49","0","28","0","0","0","156","333","Sacred Heart Catholic Elementary School"
"009","BRANT","051","U","PARIS","9","0","0","1","125","1","95","0","57","0","0","0","288","729","Holy Family Elementary School"
"009","BRANT","052","U","PARIS","3","1","1","0","76","0","66","0","13","0","0","0","160","374","Holy Family Elementary School"
"009","BRANT","053","U","PARIS","7","0","0","0","54","0","48","0","50","0","0","0","159","389","Paris Fairgrounds"
"009","BRANT","054","U","PARIS","10","0","0","2","54","1","77","0","42","0","0","0","186","383","Paris Fairgrounds"
"009","BRANT","055","U","PARIS","3","0","0","1","59","1","59","0","39","1","0","0","163","381","Paris Fairgrounds"
"009","BRANT","056","U","PARIS","3","0","1","0","63","0","51","0","26","1","0","0","145","338","Paris Fairgrounds"
"009","BRANT","057","U","PARIS","4","0","0","1","65","1","67","0","52","0","0","0","190","399","Holy Family Elementary School"
